Class,OutLinkNum,OutLinkProp
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,2,0.0625
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Nonactor,0,0.0
Actor,1,0.00636942675159
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,1,0.00313479623824
Actor,8,0.0283687943262
Actor,0,0.0
Actor,0,0.0
Actor,1,0.00467289719626
Actor,0,0.0
Actor,0,0.0
Actor,1,0.00314465408805
Actor,1,0.00252525252525
Actor,1,0.00943396226415
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,2,0.00793650793651
Actor,0,0.0
Actor,0,0.0
Actor,1,0.00934579439252
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,1,0.0117647058824
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
Actor,1,0.0117647058824
Actor,0,0.0
Actor,0,0.0
Actor,0,0.0
